term,coef,std_error,z,p_value,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high
log1p_review_count,2.041445994949545,0.04958492625277522,41.17069741200406,0.0,7.70173782496899,6.988467743780575,8.48780701282443
log1p_repo_ai_pr_volume,0.2395681042021715,0.009001254824340044,26.61496745479997,4.5555958299793784e-156,1.2707002217039023,1.24847894821158,1.2933170044647853
log1p_comment_count,-0.5695857727078928,0.045111949593733935,-12.626050920818736,1.5170254259853054e-36,0.5657597432949562,0.5178842231254509,0.6180610894100134
C(agent)[T.Copilot],-1.7234023208475915,0.13970510825902985,-12.336000754190026,5.796423167052973e-35,0.1784579426647558,0.13571213356759868,0.23466757513081202
C(agent)[T.Devin],-1.5386669789521377,0.13293796702276695,-11.574323072720269,5.560844069589468e-31,0.21466706650383188,0.1654277713202949,0.2785623542744735
Intercept,2.2603174028869875,0.20841528195309852,10.845257515212564,2.1004351922605662e-27,9.58613134970545,6.371474741901001,14.422707140229216
log1p_churn,-0.12794185645169542,0.01201354553230031,-10.649799936888206,1.747401927950928e-26,0.8799045384293718,0.8594282185353594,0.9008687171897319
log1p_forks,-0.2278117769106417,0.022481396818498825,-10.133346195072127,3.9296667406444476e-24,0.7962741229065557,0.7619498759920491,0.8321446052931976
C(language_group)[T.Python],0.5473756312025357,0.07449416931312529,7.347898986586759,2.0134656358535495e-13,1.728710286238032,1.4938695131351867,2.000468734028406
C(language_group)[T.HTML],1.0648193561653918,0.14619538463541387,7.283536062515708,3.2518194497122973e-13,2.9003150127094943,2.177726989703943,3.8626637832557895
log1p_commit_count,0.2932950657717263,0.04045949772360095,7.249102986284494,4.195408053425859e-13,1.3408383675758628,1.2386175856178485,1.451495238594324
C(language_group)[T.Other],0.45436704697199554,0.07623437861289989,5.960133147791021,2.520324937621427e-09,1.5751760549827414,1.3565577303280498,1.8290261805452102
C(language_group)[T.Java],0.6361383428382706,0.11018541286973282,5.773344458856346,7.77133437659711e-09,1.8891714426878632,1.5222338619299012,2.3445600765591776
C(language_group)[T.Go],-0.45033169999623057,0.08067110949189045,-5.582316926501434,2.3733538240887658e-08,0.6374166854398886,0.5441968890568136,0.7466048392547068
C(task_type)[T.perf],-1.0166364381223112,0.18538394073132233,-5.48395095126242,4.1593013713817516e-08,0.36180986566023204,0.25158300974592285,0.5203307608939066
C(language_group)[T.TypeScript],0.39239376218518746,0.07286398077649923,5.385291305848416,7.232741155115143e-08,1.4805205696557102,1.2834900692959763,1.7077975199106907
touches_ci_cd,0.35716166102263386,0.07478058699514385,4.776128075135696,1.7870260140805267e-06,1.4292669079284006,1.2344115808279805,1.654880694434997
C(language_group)[T.JavaScript],0.4819888765348228,0.10715049631173346,4.498242127899905,6.851763814806697e-06,1.6192917730660987,1.3125578134261564,1.9977069348854763
C(task_type)[T.other],-3.096942179942504,0.7130548056900216,-4.343203573174995,1.404199033718748e-05,0.04518716557400188,0.01117022058513615,0.18279674219946251
